iter	Passed	Remaining
0	6	1285
1	10	1028
2	14	927
3	22	1100
4	26	1030
5	30	973
6	35	989
7	41	1007
8	45	972
9	50	967
10	55	958
11	59	939
12	63	916
13	67	900
14	71	886
15	75	871
16	80	862
17	83	847
18	87	836
19	91	824
20	95	813
21	99	807
22	103	796
23	107	786
24	110	776
25	114	768
26	118	760
27	122	752
28	126	746
29	130	739
30	134	731
31	138	726
32	142	719
33	146	713
34	149	706
35	154	701
36	157	695
37	161	690
38	165	684
39	169	677
40	174	676
41	179	674
42	184	673
43	189	671
44	193	667
45	197	660
46	202	659
47	207	658
48	213	658
49	218	654
50	222	649
51	226	645
52	233	647
53	237	641
54	241	637
55	246	633
56	250	627
57	254	622
58	258	617
59	261	611
60	265	604
61	269	599
62	273	593
63	277	588
64	280	582
65	283	576
66	287	571
67	291	566
68	296	562
69	299	556
70	303	551
71	307	546
72	311	541
73	314	536
74	318	531
75	323	527
76	326	522
77	330	516
78	334	511
79	337	506
80	341	502
81	345	497
82	349	492
83	353	488
84	357	483
85	361	478
86	364	473
87	368	468
88	371	463
89	375	458
90	379	453
91	382	449
92	387	446
93	391	441
94	396	438
95	401	434
96	406	431
97	411	428
98	416	424
99	421	421
100	427	418
101	431	414
102	436	410
103	440	406
104	444	402
105	448	397
106	452	393
107	456	389
108	460	384
109	464	380
110	469	376
111	474	372
112	477	367
113	481	363
114	485	358
115	489	354
116	493	349
117	496	345
118	500	340
119	504	336
120	507	331
121	511	327
122	515	322
123	519	318
124	522	313
125	527	309
126	530	305
127	534	300
128	537	296
129	541	291
130	545	287
131	549	283
132	553	278
133	556	274
134	560	269
135	564	265
136	568	261
137	572	257
138	576	252
139	579	248
140	584	244
141	588	240
142	594	237
143	600	233
144	606	229
145	610	225
146	616	222
147	621	218
148	627	214
149	635	211
150	639	207
151	643	203
152	646	198
153	651	194
154	654	190
155	658	185
156	662	181
157	666	177
158	671	173
159	676	169
160	681	165
161	684	160
162	689	156
163	692	152
164	697	148
165	701	143
166	706	139
167	710	135
168	714	130
169	718	126
170	722	122
171	727	118
172	730	114
173	734	109
174	738	105
175	742	101
176	746	97
177	752	92
178	757	88
179	762	84
180	766	80
181	770	76
182	777	72
183	781	67
184	785	63
185	794	59
186	799	55
187	808	51
188	814	47
189	820	43
190	826	38
191	830	34
192	834	30
193	841	26
194	845	21
195	848	17
196	854	13
197	859	8
198	863	4
199	868	0
